Onnett_id;Osall_id;Henkilo_id;Osnro;Kulj_matk;Ikä;Sukupuoli;Kortti;Seuraus;Seuraussel;Kulj_kans;Ajokortlk;Ajokortikä
8121396;14456337;14387441;1;KU;18;M;X;0;ei henkilövahinkoa;SF ;A1          ;
8121396;14456338;14387440;2;KU;25;N; ;0;ei henkilövahinkoa;SF ;B           ;7
8121853;14457665;14388059;1;KU;57;M;O;0;ei henkilövahinkoa;   ;EI          ;40
8121853;14457666;14388060;2;KU;;M; ;0;ei henkilövahinkoa;SF ;B           ;
8120868;14456339;14387439;1;KU;37;M; ;0;ei henkilövahinkoa;SF ;BC          ;20
8120868;14456340;14387438;2;KU;47;N; ;0;ei henkilövahinkoa;SF ;AB          ;29
8292127;14771891;14709214;1;KU;43;M; ;0;ei henkilövahinkoa;EV ;BECEDE      ;
8292127;14771892;14709213;2;KU;29;M; ;0;ei henkilövahinkoa;SF ;BC          ;12
8788540;15672631;15624285;1;KU;62;N; ;0;ei henkilövahinkoa;SF ;AB          ;44
8121465;14457667;14388061;1;KU;53;M; ;0;ei henkilövahinkoa;SF ;ABE         ;35
8121465;14457668;14388062;2;KU;35;M; ;0;ei henkilövahinkoa;SF ;BC          ;13
8121465;14457669;14388063;3;XX;; ; ;-;NA;   ;            ;
8121437;14456341;14387437;1;KU;48;M; ;L;loukkaantunut;   ;ABE         ;31
8121897;14457670;14388064;1;XX;; ; ;-;NA;   ;            ;
8121438;14456342;14387436;1;KU;48;M; ;0;ei henkilövahinkoa;SF ;ABEC        ;31
8120827;14456343;14387435;1;KU;62;M; ;L;loukkaantunut;SF ;ABECE       ;44
8120827;14456344;14387434;2;KU;65;M; ;0;ei henkilövahinkoa;SF ;ABECEDE     ;45
8121898;14457671;14388065;1;KU;29;N; ;0;ei henkilövahinkoa;SF ;B           ;11
8121898;14457671;14388066;1;MA;30;N; ;L;loukkaantunut;SF ;            ;
8121898;14457671;14388067;1;MA;10;N; ;0;ei henkilövahinkoa;SF ;            ;
8121898;14457671;14388068;1;MA;11;M; ;0;ei henkilövahinkoa;SF ;            ;
8121898;14457672;14388069;2;KU;29;M; ;0;ei henkilövahinkoa;TR ;B           ;10
8291647;14771893;14709212;1;KU;42;M; ;0;ei henkilövahinkoa;SF ;BE          ;24
8291647;14771894;14709211;2;KU;36;M; ;0;ei henkilövahinkoa;SF ;AB          ;19
8121854;14457673;14388070;1;XX;; ; ;-;NA;   ;            ;
8121854;14457674;14388071;2;XX;; ; ;-;NA;   ;            ;
